rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,90,3,Carbono/metano,0.847314,6,246
0,90,4,Silicio/agua,0.87672,9,569
0,90,5,Silicio/acido sulfurico,0.919849,6,641
0,95,0,Carbono/agua,0.934884,7,609
0,95,1,Carbono/amonia,0.916335,8,430
0,95,2,Carbono/acido sulfurico,0.948589,9,603
0,95,3,Carbono/metano,0.847314,7,276
0,95,4,Silicio/agua,0.924661,9,639
0,95,5,Silicio/acido sulfurico,0.919849,6,688
0,100,0,Carbono/agua,0.934884,7,684
0,100,1,Carbono/amonia,0.930269,8,481
0,100,2,Carbono/acido sulfurico,0.948589,10,650
0,100,3,Carbono/metano,0.847314,7,309
0,100,4,Silicio/agua,0.934247,9,718
0,100,5,Silicio/acido sulfurico,0.945222,6,750
0,105,0,Carbono/agua,0.934884,7,768
0,105,1,Carbono/amonia,0.930269,8,538
0,105,2,Carbono/acido sulfurico,0.948589,10,703
0,105,3,Carbono/metano,0.847314,8,345
0,105,4,Silicio/agua,0.934247,9,803
0,105,5,Silicio/acido sulfurico,0.945222,6,865
0,110,0,Carbono/agua,0.942382,7,858
0,110,1,Carbono/amonia,0.946709,8,601
0,110,2,Carbono/acido sulfurico,0.948589,10,761
0,110,3,Carbono/metano,0.861123,8,385
0,110,4,Silicio/agua,0.980526,9,897
0,110,5,Silicio/acido sulfurico,0.956841,6,994
0,115,0,Carbono/agua,0.942382,7,959
0,115,1,Carbono/amonia,0.946709,8,670
0,115,2,Carbono/acido sulfurico,0.968587,10,825
0,115,3,Carbono/metano,0.861123,8,431
0,115,4,Silicio/agua,0.980526,9,1001
0,115,5,Silicio/acido sulfurico,0.956841,7,1134
0,120,0,Carbono/agua,0.942382,7,1070
0,120,1,Carbono/amonia,0.946709,8,748
0,120,2,Carbono/acido sulfurico,0.968587,10,924
0,120,3,Carbono/metano,0.861123,8,481
0,120,4,Silicio/agua,0.980526,9,1116
0,120,5,Silicio/acido sulfurico,0.956841,7,1291
0,125,0,Carbono/agua,0.942382,9,1193
0,125,1,Carbono/amonia,0.946709,8,832
0,125,2,Carbono/acido sulfurico,0.968587,10,1080
0,125,3,Carbono/metano,0.875939,9,537
0,125,4,Silicio/agua,0.980526,9,1244
0,125,5,Silicio/acido sulfurico,0.956841,7,1464
0,130,0,Carbono/agua,0.942382,9,1328
0,130,1,Carbono/amonia,0.946709,8,925
0,130,2,Carbono/acido sulfurico,0.968587,10,1253
0,130,3,Carbono/metano,0.885053,9,598
0,130,4,Silicio/agua,0.980526,9,1385
0,130,5,Silicio/acido sulfurico,0.956841,7,1655
0,135,0,Carbono/agua,0.942382,9,1476
0,135,1,Carbono/amonia,0.946709,8,1029
0,135,2,Carbono/acido sulfurico,0.968587,10,1443
0,135,3,Carbono/metano,0.898207,10,664
0,135,4,Silicio/agua,0.980526,9,1539
0,135,5,Silicio/acido sulfurico,0.960995,7,1864
0,140,0,Carbono/agua,0.942382,9,1641
0,140,1,Carbono/amonia,0.946709,8,1139
0,140,2,Carbono/acido sulfurico,0.98783,10,1648
0,140,3,Carbono/metano,0.908293,10,736
0,140,4,Silicio/agua,0.980526,10,1709
0,140,5,Silicio/acido sulfurico,0.960995,8,2088
0,145,0,Carbono/agua,0.946836,10,1822
0,145,1,Carbono/amonia,0.979893,8,1249
0,145,2,Carbono/acido sulfurico,0.98783,10,1854
0,145,3,Carbono/metano,0.908293,10,807
0,145,4,Silicio/agua,0.980526,10,1898
0,145,5,Silicio/acido sulfurico,0.960995,8,2313
0,150,0,Carbono/agua,0.946836,10,2022
0,150,1,Carbono/amonia,0.979893,8,1359
0,150,2,Carbono/acido sulfurico,0.98783,10,2059
0,150,3,Carbono/metano,0.928646,10,878
0,150,4,Silicio/agua,0.980526,10,2107
0,150,5,Silicio/acido sulfurico,0.960995,7,2470
0,155,0,Carbono/agua,0.946836,10,2244
0,155,1,Carbono/amonia,0.979893,8,1470
0,155,2,Carbono/acido sulfurico,0.98783,10,2266
0,155,3,Carbono/metano,0.928646,10,949
0,155,4,Silicio/agua,0.980526,8,2313
0,155,5,Silicio/acido sulfurico,0.960995,5,2583
0,160,0,Carbono/agua,0.946836,10,2489
0,160,1,Carbono/amonia,0.979893,7,1582
0,160,2,Carbono/acido sulfurico,0.98783,10,2474
0,160,3,Carbono/metano,0.928646,10,1019
0,160,4,Silicio/agua,0.980526,10,2440
0,160,5,Silicio/acido sulfurico,0.960995,5,2695
0,165,0,Carbono/agua,0.946836,10,2759
0,165,1,Carbono/amonia,0.979893,9,1637
0,165,2,Carbono/acido sulfurico,0.98783,10,2680
0,165,3,Carbono/metano,0.942385,10,1090
0,165,4,Silicio/agua,0.980526,10,2581
0,165,5,Silicio/acido sulfurico,0.960995,5,2809
0,170,0,Carbono/agua,0.946836,10,3058
0,170,1,Carbono/amonia,0.979893,9,1692
0,170,2,Carbono/acido sulfurico,0.98783,10,2885
0,170,3,Carbono/metano,0.942385,10,1160
0,170,4,Silicio/agua,0.980526,10,2736
0,170,5,Silicio/acido sulfurico,0.960995,6,2923
0,175,0,Carbono/agua,0.946836,10,3388
0,175,1,Carbono/amonia,0.979893,9,1748
0,175,2,Carbono/acido sulfurico,0.98783,10,3092
0,175,3,Carbono/metano,0.942385,10,1230
0,175,4,Silicio/agua,0.980526,10,2906
0,175,5,Silicio/acido sulfurico,0.960995,6,3038
0,180,0,Carbono/agua,0.946836,7,3712
0,180,1,Carbono/amonia,0.979893,9,1804
0,180,2,Carbono/acido sulfurico,0.98783,10,3297
0,180,3,Carbono/metano,0.942385,10,1303
0,180,4,Silicio/agua,0.980526,10,3173
0,180,5,Silicio/acido sulfurico,0.960995,6,3196
0,185,0,Carbono/agua,0.946836,9,3914
0,185,1,Carbono/amonia,0.979893,9,1872
0,185,2,Carbono/acido sulfurico,0.98783,10,3502
0,185,3,Carbono/metano,0.942385,10,1373
0,185,4,Silicio/agua,0.980526,10,3590
0,185,5,Silicio/acido sulfurico,0.960995,6,3423
0,190,0,Carbono/agua,0.946836,9,4136
0,190,1,Carbono/amonia,0.979893,9,1983
0,190,2,Carbono/acido sulfurico,0.98783,10,3707
0,190,3,Carbono/metano,0.942385,10,1446
0,190,4,Silicio/agua,0.980526,10,4052
0,190,5,Silicio/acido sulfurico,0.974186,7,3649
0,195,0,Carbono/agua,0.946836,9,4381
0,195,1,Carbono/amonia,0.98602,9,2093
0,195,2,Carbono/acido sulfurico,0.98783,10,3913
0,195,3,Carbono/metano,0.942385,10,1517
0,195,4,Silicio/agua,0.980526,10,4560
0,195,5,Silicio/acido sulfurico,0.98602,7,3874
0,200,0,Carbono/agua,0.946836,9,4647
0,200,1,Carbono/amonia,0.968917,7,2181
0,200,2,Carbono/acido sulfurico,0.98783,10,4119
0,200,3,Carbono/metano,0.942385,10,1589
0,200,4,Silicio/agua,0.980526,10,5112
0,200,5,Silicio/acido sulfurico,0.98602,8,4099
0,205,0,Carbono/agua,0.942382,8,4915
0,205,1,Carbono/amonia,0.968917,8,2236
0,205,2,Carbono/acido sulfurico,0.98783,10,4325
0,205,3,Carbono/metano,0.954996,10,1662
0,205,4,Silicio/agua,0.980526,10,5671
0,205,5,Silicio/acido sulfurico,0.98602,8,4326
0,210,0,Carbono/agua,0.942382,8,5185
