rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,175,3,Isolados,115,109,6876
0,180,0,Empiristas,115,116,8751
0,180,1,Incrementalistas,115,107,7989
0,180,2,Evolucionistas,115,109,8752
0,180,3,Isolados,115,111,7725
0,185,0,Empiristas,115,116,9687
0,185,1,Incrementalistas,115,109,8927
0,185,2,Evolucionistas,115,111,9689
0,185,3,Isolados,115,112,8664
0,190,0,Empiristas,115,116,10721
0,190,1,Incrementalistas,115,110,9962
0,190,2,Evolucionistas,115,111,10723
0,190,3,Isolados,115,112,9700
0,195,0,Empiristas,115,116,11864
0,195,1,Incrementalistas,115,110,11106
0,195,2,Evolucionistas,115,112,11866
0,195,3,Isolados,115,113,10843
0,200,0,Empiristas,115,116,13125
0,200,1,Incrementalistas,115,112,12366
0,200,2,Evolucionistas,115,112,13128
0,200,3,Isolados,115,115,12104
0,205,0,Empiristas,115,116,14519
0,205,1,Incrementalistas,115,112,13760
0,205,2,Evolucionistas,115,113,14521
0,205,3,Isolados,115,115,13497
0,210,0,Empiristas,115,116,16056
0,210,1,Incrementalistas,115,113,15298
0,210,2,Evolucionistas,115,115,16061
0,210,3,Isolados,115,115,15035
0,215,0,Empiristas,115,116,17754
0,215,1,Incrementalistas,115,114,16995
0,215,2,Evolucionistas,115,115,17760
0,215,3,Isolados,115,115,16732
0,220,0,Empiristas,115,116,19628
0,220,1,Incrementalistas,115,114,18871
0,220,2,Evolucionistas,115,115,19635
0,220,3,Isolados,115,115,18607
0,225,0,Empiristas,115,116,21699
0,225,1,Incrementalistas,115,82,20514
0,225,2,Evolucionistas,115,115,21703
0,225,3,Isolados,115,115,20678
0,230,0,Empiristas,115,116,23985
0,230,1,Incrementalistas,115,95,21657
0,230,2,Evolucionistas,115,115,23988
0,230,3,Isolados,115,115,22962
0,235,0,Empiristas,115,116,26465
0,235,1,Incrementalistas,115,103,22897
0,235,2,Evolucionistas,115,115,26467
0,235,3,Isolados,115,115,25442
0,240,0,Empiristas,115,116,28965
0,240,1,Incrementalistas,115,108,24147
0,240,2,Evolucionistas,115,116,28967
0,240,3,Isolados,115,115,27942
0,245,0,Empiristas,115,116,31465
0,245,1,Incrementalistas,115,112,25397
0,245,2,Evolucionistas,115,116,31467
0,245,3,Isolados,115,115,30442
0,250,0,Empiristas,115,116,33965
0,250,1,Incrementalistas,115,115,27397
0,250,2,Evolucionistas,115,116,33967
0,250,3,Isolados,115,115,32942
0,255,0,Empiristas,115,116,36465
0,255,1,Incrementalistas,115,116,29897
0,255,2,Evolucionistas,115,116,36467
0,255,3,Isolados,115,115,35442
0,260,0,Empiristas,115,116,38965
0,260,1,Incrementalistas,115,116,32397
0,260,2,Evolucionistas,115,116,38967
0,260,3,Isolados,115,115,37942
