cenario,catalise,bioquimica,tempo_apos_formacao_gyr,tempo_cosmico_gyr,temperatura_k
Rapido,fixa,Carbono/agua,0.378096,4.9625,316.977
Rapido,fixa,Carbono/agua,3.77206,7.08413,285.605
Rapido,fixa,Carbono/agua,0.353842,7.59856,344.785
Rapido,fixa,Carbono/agua,0.469378,12.1231,315.622
Rapido,fixa,Carbono/agua,2.42436,9.33546,301.807
Rapido,fixa,Carbono/agua,0.887587,4.4297,311.437
Rapido,fixa,Carbono/agua,0.439679,3.3668,313.306
Rapido,fixa,Carbono/agua,1.07153,2.24291,303.608
Rapido,fixa,Carbono/agua,0.422998,7.03316,342.621
Rapido,fixa,Carbono/agua,9.01219,18.6082,280.688
Rapido,fixa,Carbono/agua,0.488245,13.6736,326.788
Rapido,fixa,Carbono/agua,0.552728,7.26684,313.855
Rapido,fixa,Carbono/agua,1.42352,3.88339,307.611
Rapido,fixa,Carbono/agua,1.30084,5.57079,306.082
Rapido,fixa,Carbono/agua,1.50726,14.8435,304.249
Rapido,fixa,Carbono/agua,0.407142,5.27599,316.975
Rapido,fixa,Carbono/agua,1.71297,4.16357,299.774
Rapido,fixa,Carbono/agua,1.82466,8.92839,305.026
Rapido,fixa,Carbono/agua,4.81485,7.42988,280.65
Rapido,fixa,Carbono/agua,14.5082,17.8015,282.249
Rapido,fixa,Carbono/agua,0.349225,8.45331,346.554
Rapido,fixa,Carbono/agua,3.84153,12.7032,287.83
Rapido,fixa,Carbono/agua,0.356058,8.3293,346.915
Rapido,fixa,Carbono/agua,0.309238,8.71994,349.166
Rapido,fixa,Carbono/agua,2.50854,5.73185,295.561
Rapido,fixa,Carbono/agua,0.685701,4.23888,322.152
Rapido,fixa,Carbono/agua,0.326998,11.1249,345.888
Rapido,fixa,Carbono/agua,5.64761,8.74838,282.316
Rapido,fixa,Carbono/agua,1.53247,5.6191,308.312
Rapido,fixa,Carbono/agua,0.503174,12.2581,315.199
Rapido,fixa,Carbono/agua,0.379161,8.84116,333.833
Rapido,fixa,Carbono/agua,0.40862,2.6811,335.011
Rapido,fixa,Carbono/agua,0.490134,2.58532,311.362
Rapido,fixa,Carbono/agua,1.30266,11.2726,294.321
Rapido,fixa,Carbono/agua,0.667087,6.60116,325.244
Rapido,fixa,Carbono/agua,2.22267,7.80852,291.122
Rapido,fixa,Carbono/agua,3.64328,12.0561,283.624
Rapido,fixa,Carbono/agua,1.3566,5.14491,308.013
Rapido,fixa,Carbono/agua,0.321488,13.5093,348.591
Rapido,fixa,Carbono/agua,0.962598,7.25522,315.456
Rapido,fixa,Carbono/agua,1.24706,5.60708,298.411
Rapido,fixa,Carbono/agua,4.0528,7.01526,287.509
Rapido,fixa,Carbono/agua,4.10005,13.8546,289.571
Rapido,fixa,Carbono/agua,0.651385,6.57751,328.062
Rapido,fixa,Carbono/agua,0.378788,4.07838,320.121
Rapido,fixa,Carbono/agua,15.2125,17.2214,286.327
Rapido,fixa,Carbono/agua,0.778047,3.48349,303.528
Rapido,fixa,Carbono/agua,4.17144,11.7712,294.951
Rapido,fixa,Carbono/agua,0.335684,12.7252,345.466
Rapido,fixa,Carbono/agua,1.01198,10.9709,291.423
Rapido,fixa,Carbono/agua,5.94539,11.1566,291.847
Rapido,fixa,Carbono/agua,0.43652,4.49561,332.281
Rapido,fixa,Carbono/agua,0.589147,2.19385,318.567
Rapido,fixa,Carbono/agua,0.430228,11.401,325.051
Rapido,fixa,Carbono/agua,0.351395,3.4434,346.83
Rapido,fixa,Carbono/agua,13.3599,23.9458,281.012
Rapido,fixa,Carbono/agua,0.418797,3.94212,308.518
Rapido,fixa,Carbono/agua,1.33013,10.3001,305.06
Rapido,fixa,Carbono/agua,1.1297,4.8529,305.585
Rapido,fixa,Carbono/agua,0.722659,10.292,308.388
Rapido,fixa,Carbono/agua,0.537571,9.08549,320.835
Rapido,fixa,Carbono/agua,0.647199,8.52269,320.966
Rapido,fixa,Carbono/agua,0.605834,7.81467,312.224
Rapido,fixa,Carbono/agua,17.5179,21.9393,281.205
Rapido,fixa,Carbono/agua,6.65322,11.0944,281.648
Rapido,fixa,Carbono/agua,0.359896,7.11035,334.614
Rapido,fixa,Carbono/agua,0.456369,4.3631,326.63
Rapido,fixa,Carbono/agua,0.421501,3.57521,331.973
Rapido,fixa,Carbono/agua,1.33268,3.35067,302.447
Rapido,fixa,Carbono/agua,0.774222,3.36138,315.362
Rapido,fixa,Carbono/agua,1.54323,6.27532,285.338
Rapido,fixa,Carbono/agua,0.39405,4.56766,326.203
Rapido,fixa,Carbono/agua,0.315728,5.97027,351.676
Rapido,fixa,Carbono/agua,1.79012,12.7523,281.448
Rapido,fixa,Carbono/agua,0.470798,9.64477,316.36
Rapido,fixa,Carbono/agua,0.5219,12.4316,322.439
Rapido,fixa,Carbono/agua,3.14603,8.47762,287.649
Rapido,fixa,Carbono/agua,16.8799,19.448,277.883
Rapido,fixa,Carbono/agua,0.32332,4.4663,345.164
Rapido,fixa,Carbono/agua,8.75355,16.5089,279.797
Rapido,fixa,Carbono/agua,1.05399,11.9462,297.564
Rapido,fixa,Carbono/agua,1.09647,10.4489,303.085
Rapido,fixa,Carbono/agua,0.96513,10.0287,306.621
Rapido,fixa,Carbono/agua,1.5153,6.13492,301.1
Rapido,fixa,Carbono/agua,5.37641,13.7664,292.236
Rapido,fixa,Carbono/agua,0.541589,10.4551,316.189
Rapido,fixa,Carbono/agua,0.330859,3.40656,341.9
Rapido,fixa,Carbono/agua,5.68894,15.7557,301.521
Rapido,fixa,Carbono/agua,2.24536,7.0215,288.445
Rapido,fixa,Carbono/agua,0.795348,12.4446,303.26
Rapido,fixa,Carbono/agua,1.81084,6.10345,292.897
Rapido,fixa,Carbono/agua,0.474646,3.16786,316.102
Rapido,fixa,Carbono/agua,1.91642,2.96306,280.599
Rapido,fixa,Carbono/agua,2.36797,12.599,297.699
Rapido,fixa,Carbono/agua,0.356807,2.67997,344.444
Rapido,fixa,Carbono/agua,8.82321,15.2729,279.867
Rapido,fixa,Carbono/agua,0.733262,7.28146,313.945
Rapido,fixa,Carbono/agua,0.379705,4.20348,326.849
Rapido,fixa,Carbono/agua,0.71741,7.50132,317.809
Rapido,fixa,Carbono/agua,4.36156,10.4109,294.821
Rapido,fixa,Carbono/agua,0.336305,8.41543,347.523
Rapido,fixa,Carbono/agua,0.424366,10.3335,335.59
Rapido,fixa,Carbono/agua,3.80156,12.2917,279.364
Rapido,fixa,Carbono/agua,1.79276,10.346,290.545
Rapido,fixa,Carbono/agua,7.37723,10.4753,282.467
Rapido,fixa,Carbono/agua,0.706603,4.3628,308.75
Rapido,fixa,Carbono/agua,4.36363,9.82941,283.899
Rapido,fixa,Carbono/agua,0.658106,4.6333,307.134
Rapido,fixa,Carbono/agua,2.67727,6.89846,285.575
Rapido,fixa,Carbono/agua,2.84301,7.0834,296.063
Rapido,fixa,Carbono/agua,0.485333,4.70249,331.933
Rapido,fixa,Carbono/agua,1.87851,10.6172,295.896
Rapido,fixa,Carbono/agua,0.356544,6.9015,341.518
Rapido,fixa,Carbono/agua,0.375536,6.75478,349.559
Rapido,fixa,Carbono/agua,2.05231,3.88265,296.847
Rapido,fixa,Carbono/agua,0.467821,5.65927,336.07
Rapido,fixa,Carbono/agua,0.328894,5.25882,352.777
Rapido,fixa,Carbono/agua,0.331702,7.96963,351.205
Rapido,fixa,Carbono/agua,0.344471,6.72446,345.2
Rapido,fixa,Carbono/agua,1.46914,9.30429,303.61
Rapido,fixa,Carbono/agua,0.335782,4.66946,352.471
